time,10m,20m,30m,40m,50m,60m,70m,80m,90m,100m,110m,120m,130m,140m,150m,160m,170m,180m
22720,1.674,2.324,2.821,3.214,3.472,3.73,3.9605,4.191,4.3475,4.504,4.578,4.652,4.7395,4.827,4.935,5.043,5.1475,5.252
22730,1.445,1.899,2.21,2.361,2.705,3.049,3.479,3.909,4.0645,4.22,4.321,4.422,4.5,4.578,4.672,4.766,4.913,5.06
22740,1.131,1.733,2.158,2.34,2.564,2.788,3.013,3.238,3.4255,3.613,3.739,3.865,4.012,4.159,4.261,4.363,4.44,4.517
22750,2.186,2.695,3.117,3.759,3.8865,4.014,4.386,4.758,4.915,5.072,5.1865,5.301,5.54,5.779,6.1875,6.596,6.909,7.222
22760,2.3,2.52,3.141,3.425,3.8045,4.184,4.473,4.762,5.0625,5.363,5.5135,5.664,5.806,5.948,6.4715,6.995,7.2635,7.532
22770,1.798,2.623,3.141,3.64,3.912,4.184,4.7065,5.229,5.326,5.423,5.6245,5.826,6.251,6.676,6.935,7.194,7.414,7.634
22780,1.639,2.142,2.649,3.183,3.7455,4.308,4.578,4.848,5.064,5.28,5.666,6.052,6.4325,6.813,7.054,7.295,7.477,7.659
22790,1.969,2.452,3.173,3.745,4.1405,4.536,4.8965,5.257,5.6195,5.982,6.315,6.648,6.9275,7.207,7.397,7.587,7.71,7.833
22800,2.199,2.399,3.193,3.591,4.1185,4.646,5.07,5.494,5.852,6.21,6.5255,6.841,7.1425,7.444,7.6065,7.769,7.8485,7.928
22810,2.06,2.532,2.717,3.031,3.2605,3.49,3.7915,4.093,4.48,4.867,5.239,5.611,5.8305,6.05,6.1925,6.335,6.406,6.477
22820,1.589,2.132,2.641,2.84,3.113,3.386,3.6035,3.821,4.169,4.517,4.7935,5.07,5.2745,5.479,5.6295,5.78,5.9085,6.037
22830,2.008,2.843,3.161,3.39,3.6245,3.859,4.0405,4.222,4.4975,4.773,4.971,5.169,5.3755,5.582,5.749,5.916,6.014,6.112
22840,1.684,2.366,2.757,3.039,3.2535,3.468,3.6525,3.837,3.949,4.061,4.2315,4.402,4.618,4.834,5.0035,5.173,5.2865,5.4
22850,1.568,2.451,2.783,2.929,3.0935,3.258,3.3875,3.517,3.6005,3.684,3.7775,3.871,4.006,4.141,4.2435,4.346,4.453,4.56
22860,1.519,2.19,2.472,2.736,2.9925,3.249,3.4865,3.724,3.8735,4.023,4.1105,4.198,4.282,4.366,4.4655,4.565,4.628,4.691
22870,1.504,1.787,1.941,2.076,2.392,2.708,2.8735,3.039,3.131,3.223,3.317,3.411,3.55,3.689,3.87,4.051,4.228,4.405
22880,1.258,1.595,1.698,1.951,2.0895,2.228,2.4605,2.693,2.927,3.161,3.342,3.523,3.6755,3.828,3.972,4.116,4.1855,4.255
22890,1.349,1.803,2.051,2.289,2.5465,2.804,3.03,3.256,3.4475,3.639,3.7435,3.848,3.9345,4.021,4.141,4.261,4.3915,4.522
22900,1.23,1.581,1.955,2.105,2.3965,2.688,2.8525,3.017,3.2015,3.386,3.5495,3.713,3.912,4.111,4.254,4.397,4.484,4.571
22910,1.519,1.76,2.219,2.643,3.098,3.553,3.9315,4.31,4.568,4.826,5.0175,5.209,5.349,5.489,5.5985,5.708,5.7865,5.865
22920,1.29,1.788,2.092,2.287,2.5915,2.896,3.2115,3.527,3.822,4.117,4.379,4.641,4.8965,5.152,5.3255,5.499,5.646,5.793
22930,1.371,1.912,2.268,2.446,2.6845,2.923,3.214,3.505,3.8245,4.144,4.469,4.794,5.0515,5.309,5.5045,5.7,5.8285,5.957
22940,1.885,2.14,2.548,2.841,3.1275,3.414,3.7625,4.111,4.4835,4.856,5.172,5.488,5.642,5.796,5.8495,5.903,5.964,6.025
22950,2.119,2.241,2.662,3.064,3.457,3.85,4.289,4.728,5.1395,5.551,5.7905,6.03,6.1285,6.227,6.306,6.385,6.5585,6.732
22960,2.53,2.845,3.099,3.514,3.8695,4.225,4.6695,5.114,5.56,6.006,6.374,6.742,6.9385,7.135,7.232,7.329,7.388,7.447
22970,2.074,2.568,2.758,2.962,3.072,3.182,3.2835,3.385,3.4475,3.51,3.5645,3.619,3.7715,3.924,4.026,4.128,4.237,4.346
22980,2.201,2.978,3.254,3.431,3.5335,3.636,3.7395,3.843,4.0585,4.274,4.3865,4.499,4.6885,4.878,5.0365,5.195,5.345,5.495
22990,2.226,3.007,3.24,3.506,3.752,3.998,4.208,4.418,4.5925,4.767,4.828,4.889,5.0145,5.14,5.22,5.3,5.406,5.512
23000,2.105,2.834,3.221,3.44,3.6625,3.885,4.0035,4.122,4.2555,4.389,4.4685,4.548,4.7285,4.909,5.1185,5.328,5.5685,5.809
23010,1.87,2.485,3.045,3.22,3.4775,3.735,3.948,4.161,4.303,4.445,4.596,4.747,4.932,5.117,5.2925,5.468,5.665,5.862
23020,1.852,2.638,2.956,3.076,3.3165,3.557,3.7915,4.026,4.163,4.3,4.367,4.434,4.572,4.71,4.85,4.99,5.22,5.45
23030,1.721,2.228,2.636,2.795,3.002,3.209,3.349,3.489,3.647,3.805,3.9745,4.144,4.3125,4.481,4.6525,4.824,5.1235,5.423
23040,2.425,3.109,3.236,3.411,3.5845,3.758,3.89,4.022,4.133,4.244,4.443,4.642,4.8385,5.035,5.1915,5.348,5.498,5.648
23050,2.164,2.78,3.13,3.339,3.591,3.843,4.0465,4.25,4.3455,4.441,4.5225,4.604,4.712,4.82,4.9155,5.011,5.1105,5.21
23060,2.046,2.53,2.911,3.071,3.1895,3.308,3.4815,3.655,3.8785,4.102,4.2195,4.337,4.4445,4.552,4.618,4.684,4.7475,4.811
23070,1.292,1.532,1.745,2.09,2.261,2.432,2.5585,2.685,2.772,2.859,2.9335,3.008,3.0915,3.175,3.229,3.283,3.3805,3.478
23080,1.038,1.481,1.812,2.039,2.193,2.347,2.4215,2.496,2.579,2.662,2.7465,2.831,2.9745,3.118,3.252,3.386,3.462,3.538
23090,1.153,1.499,1.685,1.84,2.0125,2.185,2.319,2.453,2.6045,2.756,2.8805,3.005,3.1585,3.312,3.6145,3.917,4.0905,4.264
23100,1.329,1.625,1.829,2.027,2.197,2.367,2.498,2.629,2.7395,2.85,2.942,3.034,3.216,3.398,3.625,3.852,4.15,4.448
23110,1.127,1.422,1.915,2.047,2.2685,2.49,2.663,2.836,2.9515,3.067,3.1525,3.238,3.3325,3.427,3.5455,3.664,3.816,3.968
23120,1.077,1.418,2.1,2.679,2.878,3.077,3.1875,3.298,3.3985,3.499,3.5865,3.674,3.795,3.916,4.241,4.566,4.6795,4.793
23130,2.319,3.588,4.243,4.507,4.5985,4.69,4.7995,4.909,5,5.091,5.171,5.251,5.494,5.737,6.0055,6.274,6.4745,6.675
23140,2.434,3.14,3.551,3.836,3.919,4.002,4.114,4.226,4.304,4.382,4.5415,4.701,4.9025,5.104,5.3575,5.611,5.8275,6.044
23150,0.976,1.466,1.796,2.015,2.136,2.257,2.3305,2.404,2.4725,2.541,2.6025,2.664,2.735,2.806,2.8795,2.953,3.097,3.241
23160,1.511,2.136,2.691,2.863,3.048,3.233,3.301,3.369,3.494,3.619,3.746,3.873,3.977,4.081,4.2105,4.34,4.5305,4.721
23170,1.707,2.853,3.197,3.377,3.6455,3.914,3.992,4.07,4.2205,4.371,4.514,4.657,4.81,4.963,5.126,5.289,5.398,5.507
23180,1.47,2.258,2.867,3.225,3.539,3.853,4.025,4.197,4.352,4.507,4.632,4.757,4.8525,4.948,5.0345,5.121,5.174,5.227
23190,1.448,2.259,2.761,3.115,3.6625,4.21,4.384,4.558,4.6755,4.793,4.931,5.069,5.154,5.239,5.443,5.647,5.992,6.337
23200,1.408,1.89,2.225,2.582,2.96,3.338,3.696,4.054,4.3045,4.555,4.7205,4.886,5.061,5.236,5.3845,5.533,5.586,5.639
23210,2.038,2.876,3.429,3.761,4.029,4.297,4.555,4.813,5.102,5.391,5.7345,6.078,6.3935,6.709,6.954,7.199,7.3345,7.47
23220,2.504,2.887,3.409,3.509,3.665,3.821,3.997,4.173,4.525,4.877,5.304,5.731,6.099,6.467,6.812,7.157,7.4015,7.646
23230,2.637,2.788,3.176,3.39,3.6065,3.823,4.0705,4.318,4.573,4.828,5.178,5.528,5.9155,6.303,6.769,7.235,7.674,8.113
23240,2.005,2.142,2.256,2.378,2.489,2.6,2.7105,2.821,2.989,3.157,3.3705,3.584,3.845,4.106,4.4645,4.823,5.1645,5.506
23250,1.44,2.057,2.376,2.534,2.7805,3.027,3.093,3.159,3.211,3.263,3.358,3.453,3.5805,3.708,3.989,4.27,4.4705,4.671
23260,4.111,4.42,4.718,5.021,5.3025,5.584,5.8825,6.181,6.633,7.085,7.425,7.765,7.934,8.103,8.251,8.399,8.492,8.585
23270,3.107,3.99,4.504,5.077,5.381,5.685,5.9895,6.294,6.5405,6.787,6.9245,7.062,7.2175,7.373,7.6225,7.872,8.2005,8.529
23280,2.798,3.289,4.041,4.369,4.679,4.989,5.2365,5.484,5.7895,6.095,6.3135,6.532,6.658,6.784,6.9425,7.101,7.329,7.557
23290,2.574,3.307,3.786,4.074,4.351,4.628,4.8765,5.125,5.298,5.471,5.8075,6.144,6.3755,6.607,6.9885,7.37,7.494,7.618
23300,2.761,3.307,4.099,4.474,4.551,4.628,5.3925,6.157,6.224,6.291,6.617,6.943,7.198,7.453,7.8745,8.296,8.4675,8.639
23310,2.957,3.781,4.354,4.959,5.5215,6.084,6.352,6.62,6.805,6.99,7.2355,7.481,7.7625,8.044,8.3105,8.577,8.7145,8.852
23320,2.654,3.541,4.216,4.786,5.224,5.662,5.9775,6.293,6.53,6.767,6.9845,7.202,7.462,7.722,7.984,8.246,8.481,8.716
23330,2.856,3.533,3.985,4.298,4.721,5.144,5.475,5.806,6.093,6.38,6.648,6.916,7.216,7.516,7.818,8.12,8.3935,8.667
23340,3.093,3.858,4.117,4.563,4.962,5.361,5.7435,6.126,6.3415,6.557,6.7895,7.022,7.28,7.538,7.8935,8.249,8.4855,8.722
23350,2.729,3.374,3.861,4.423,4.7265,5.03,5.439,5.848,6.2195,6.591,6.94,7.289,7.6195,7.95,8.186,8.422,8.5595,8.697
23360,2.893,3.706,4.065,4.664,5.1495,5.635,6.059,6.483,6.7005,6.918,7.179,7.44,7.8105,8.181,8.364,8.547,8.631,8.715
23370,2.615,3.452,3.927,4.377,4.855,5.333,5.7265,6.12,6.4,6.68,6.93,7.18,7.509,7.838,8.0835,8.329,8.437,8.545
23380,2.197,3.36,4.054,4.385,4.846,5.307,5.7205,6.134,6.4715,6.809,7.0895,7.37,7.6805,7.991,8.2505,8.51,8.657,8.804
23390,2.547,3.428,4.178,4.763,5.3465,5.93,6.3535,6.777,7.047,7.317,7.5325,7.748,8.075,8.402,8.6415,8.881,9.005,9.129
23400,2.893,3.598,4.238,5.05,5.699,6.348,6.897,7.446,7.7505,8.055,8.354,8.653,8.879,9.105,9.224,9.343,9.456,9.569
23410,2.86,3.855,4.686,5.382,6.085,6.788,7.276,7.764,8.103,8.442,8.716,8.99,9.178,9.366,9.4385,9.511,9.6505,9.79
23420,2.772,3.611,4.518,5.188,5.977,6.766,7.3235,7.881,8.2495,8.618,8.768,8.918,9.1415,9.365,9.65,9.935,10.125,10.315
23430,2.789,3.85,4.851,5.497,6.1595,6.822,7.293,7.764,8.119,8.474,8.573,8.672,9.0065,9.341,9.638,9.935,10.125,10.315
23440,1.608,2.489,3.218,3.82,4.418,5.016,5.5765,6.137,6.506,6.875,7.189,7.503,7.788,8.073,8.236,8.399,8.5275,8.656
23450,1.152,1.773,2.24,2.623,2.966,3.309,3.6145,3.92,4.1795,4.439,4.636,4.833,5.012,5.191,5.41,5.629,5.8815,6.134
23460,1.651,2.381,2.846,3.273,3.7255,4.178,4.4685,4.759,4.9785,5.198,5.4635,5.729,6.06,6.391,6.7335,7.076,7.3765,7.677
23470,1.96,2.805,3.309,3.657,4.102,4.547,4.8055,5.064,5.244,5.424,5.516,5.608,5.754,5.9,6.083,6.266,6.4325,6.599
23480,1.883,2.51,3.306,3.738,3.9355,4.133,4.327,4.521,4.782,5.043,5.345,5.647,6.032,6.417,6.7195,7.022,7.2455,7.469
23490,2.148,3.024,3.748,4.309,4.864,5.419,5.8285,6.238,6.6075,6.977,7.329,7.681,7.967,8.253,8.484,8.715,8.8385,8.962
23500,1.973,2.424,2.913,3.412,3.9805,4.549,5.118,5.687,6.1705,6.654,7.106,7.558,7.8775,8.197,8.456,8.715,8.9405,9.166
23510,1.161,1.831,2.486,2.962,3.204,3.446,3.7205,3.995,4.4345,4.874,5.4325,5.991,6.598,7.205,7.516,7.827,7.978,8.129
23520,1.593,2.094,2.891,3.281,3.708,4.135,4.545,4.955,5.4895,6.024,6.4545,6.885,7.2135,7.542,7.999,8.456,9.024,9.592
23530,2.001,2.658,3.271,3.683,4.016,4.349,4.6865,5.024,5.346,5.668,5.935,6.202,6.5755,6.949,7.455,7.961,8.3975,8.834
23540,2.149,2.862,3.605,4.127,4.6285,5.13,5.609,6.088,6.565,7.042,7.4575,7.873,8.266,8.659,8.971,9.283,9.601,9.919
23550,1.607,2.345,2.835,3.261,3.824,4.387,4.9245,5.462,5.9745,6.487,6.8795,7.272,7.6375,8.003,8.3625,8.722,9.025,9.328
23560,1.992,2.709,3.192,3.801,4.3265,4.852,5.4375,6.023,6.611,7.199,7.6205,8.042,8.3235,8.605,8.824,9.043,9.2015,9.36
23570,1.517,1.985,2.463,2.855,3.1815,3.508,3.9985,4.489,5.006,5.523,5.98,6.437,6.8575,7.278,7.6105,7.943,8.137,8.331
23580,1.451,2.433,2.959,3.394,3.8845,4.375,4.828,5.281,5.6565,6.032,6.416,6.8,7.111,7.422,7.6475,7.873,8.0975,8.322
23590,1.026,1.298,1.804,2.338,2.7585,3.179,3.534,3.889,4.1785,4.468,4.742,5.016,5.335,5.654,5.991,6.328,6.7255,7.123
23600,0.789,1.111,1.442,1.752,2.093,2.434,2.816,3.198,3.5205,3.843,4.16,4.477,4.7435,5.01,5.332,5.654,6.036,6.418
23610,0.787,1.078,1.429,1.781,2.0915,2.402,2.649,2.896,3.0925,3.289,3.475,3.661,3.864,4.067,4.326,4.585,4.909,5.233
23620,0.74,0.883,1.257,1.715,2.082,2.449,2.7055,2.962,3.1785,3.395,3.6305,3.866,4.136,4.406,4.7035,5.001,5.266,5.531
23630,0.717,0.864,1.231,1.533,1.872,2.211,2.5455,2.88,3.1485,3.417,3.658,3.899,4.154,4.409,4.658,4.907,5.209,5.511
23640,1.222,1.595,1.809,2.087,2.558,3.029,3.3365,3.644,3.9325,4.221,4.414,4.607,4.8065,5.006,5.1755,5.345,5.5675,5.79
23650,1.13,2.038,2.482,2.794,3.121,3.448,3.6845,3.921,4.2615,4.602,4.796,4.99,5.184,5.378,5.5745,5.771,5.9885,6.206
23660,1.016,2.101,2.57,2.902,3.2155,3.529,3.818,4.107,4.369,4.631,4.908,5.185,5.432,5.679,5.92,6.161,6.406,6.651
23670,1.073,2.301,2.945,3.184,3.5655,3.947,4.286,4.625,4.9395,5.254,5.6235,5.993,6.312,6.631,6.874,7.117,7.322,7.527
23680,1.008,1.599,2.418,2.549,2.71,2.871,3.12,3.369,3.5855,3.802,4.017,4.232,4.4525,4.673,4.91,5.147,5.422,5.697
23690,1.23,1.521,2.025,2.263,2.5415,2.82,3.022,3.224,3.4185,3.613,3.833,4.053,4.338,4.623,4.9065,5.19,5.368,5.546
23700,1.413,2.023,2.149,2.354,2.676,2.998,3.2565,3.515,3.7335,3.952,4.1545,4.357,4.5935,4.83,5.028,5.226,5.4595,5.693
23710,1.373,2.265,2.66,3.015,3.3285,3.642,3.838,4.034,4.1825,4.331,4.515,4.699,4.9445,5.19,5.45,5.71,5.958,6.206
23720,1.168,1.919,2.583,2.969,3.3455,3.722,3.9785,4.235,4.36,4.485,4.5945,4.704,4.883,5.062,5.342,5.622,5.8985,6.175
23730,1.454,1.916,2.196,2.595,2.896,3.197,3.5375,3.878,4.0475,4.217,4.451,4.685,4.9665,5.248,5.4645,5.681,5.7805,5.88
23740,1.621,2.574,3.582,3.776,3.8545,3.933,4.0145,4.096,4.2195,4.343,4.441,4.539,4.7375,4.936,5.158,5.38,5.632,5.884
23750,2.516,3.142,3.698,3.992,4.338,4.684,4.866,5.048,5.1575,5.267,5.5565,5.846,6.0775,6.309,6.47,6.631,6.739,6.847
23760,2.652,3.233,3.553,3.758,4.0375,4.317,4.5025,4.688,5.058,5.428,5.865,6.302,6.6995,7.097,7.3495,7.602,7.8165,8.031
23770,2.351,2.795,3.231,3.461,3.665,3.869,3.999,4.129,4.362,4.595,4.9925,5.39,5.777,6.164,6.5315,6.899,7.095,7.291
23780,2.341,2.988,3.31,3.573,3.8115,4.05,4.165,4.28,4.4995,4.719,4.981,5.243,5.579,5.915,6.1565,6.398,6.758,7.118
23790,2.457,2.807,3.163,3.351,3.474,3.597,3.768,3.939,4.1365,4.334,4.5375,4.741,4.99,5.239,5.479,5.719,5.99,6.261
23800,1.976,2.589,3.131,3.599,3.7035,3.808,3.895,3.982,4.2405,4.499,4.661,4.823,5.028,5.233,5.57,5.907,6.1715,6.436
23810,2.876,3.812,4.684,5.008,5.254,5.5,5.5545,5.609,5.725,5.841,6.0645,6.288,6.4705,6.653,6.874,7.095,7.4445,7.794
23820,5.519,6.597,7.91,8.557,8.9385,9.32,9.386,9.452,9.724,9.996,10.1695,10.343,10.4445,10.546,10.6685,10.791,10.921,11.051
23830,6.42,7.937,8.976,9.538,10.163,10.788,11.1415,11.495,11.564,11.633,11.8025,11.972,12.0835,12.195,12.3485,12.502,12.611,12.72
23840,5.739,7.506,8.807,9.054,9.5815,10.109,10.4285,10.748,11.1195,11.491,11.7055,11.92,12.1605,12.401,12.6565,12.912,13.0995,13.287
23850,5.603,6.691,7.937,8.485,8.6765,8.868,9.1985,9.529,10.0585,10.588,10.894,11.2,11.287,11.374,11.5755,11.777,11.9295,12.082
23860,7.159,7.84,9.69,10.764,11.2775,11.791,12.1125,12.434,12.6495,12.865,12.9165,12.968,13.04,13.112,13.242,13.372,13.4545,13.537
23870,7.39,8.715,9.277,9.758,10.12,10.482,10.8925,11.303,11.589,11.875,12.1205,12.366,12.4235,12.481,12.6045,12.728,12.7955,12.863
23880,6.82,7.924,8.607,9.507,9.779,10.051,10.642,11.233,11.696,12.159,12.4205,12.682,12.8915,13.101,13.281,13.461,13.5635,13.666
23890,5.187,7.1,8.236,8.617,9.0485,9.48,9.607,9.734,9.898,10.062,10.2245,10.387,10.494,10.601,10.7545,10.908,11.06,11.212
23900,5.097,6.637,7.499,8.159,8.588,9.017,9.447,9.877,10.1285,10.38,10.5775,10.775,10.982,11.189,11.337,11.485,11.587,11.689
23910,4.767,6.637,7.154,8.1,8.7535,9.407,9.647,9.887,10.0455,10.204,10.3315,10.459,10.565,10.671,10.783,10.895,10.998,11.101
23920,4.767,6.637,7.154,8.201,8.8735,9.546,10.02,10.494,10.8755,11.257,11.448,11.639,11.7325,11.826,11.95,12.074,12.1455,12.217
23930,6.13,6.881,8.161,8.978,9.5615,10.145,10.4085,10.672,10.948,11.224,11.3535,11.483,11.6385,11.794,11.992,12.19,12.4085,12.627
23940,4.368,5.227,6.476,7.4,7.8165,8.233,8.475,8.717,8.9675,9.218,9.3405,9.463,9.565,9.667,9.762,9.857,9.976,10.095
23950,3.826,4.611,5.532,6.189,6.7495,7.31,7.675,8.04,8.361,8.682,8.8085,8.935,9.0655,9.196,9.2975,9.399,9.493,9.587
23960,3.826,4.611,6.828,7.603,8.1285,8.654,8.8645,9.075,9.45,9.825,9.9505,10.076,10.2085,10.341,10.4585,10.576,10.744,10.912
23970,4.537,5.941,6.442,7.658,8.065,8.472,8.884,9.296,9.7475,10.199,10.545,10.891,11.1305,11.37,11.668,11.966,12.146,12.326
23980,4.936,5.915,6.96,7.474,8.0115,8.549,9.036,9.523,9.896,10.269,10.623,10.977,11.199,11.421,11.5245,11.628,11.882,12.136
23990,4.166,5.302,6.186,7.195,7.7025,8.21,8.5185,8.827,9.096,9.365,9.6455,9.926,10.0575,10.189,10.521,10.853,10.9205,10.988
24000,4.166,5.302,6.145,7.047,7.2815,7.516,7.791,8.066,8.3005,8.535,8.81,9.085,9.26,9.435,9.5745,9.714,9.9295,10.145
24010,2.579,4.238,4.415,5.136,5.618,6.1,6.3935,6.687,6.8665,7.046,7.2335,7.421,7.568,7.715,7.943,8.171,8.3875,8.604
24020,2.461,3.37,4.163,5.074,5.4835,5.893,6.1905,6.488,6.769,7.05,7.24,7.43,7.6475,7.865,8.0605,8.256,8.451,8.646
24030,2.121,2.998,4.024,4.654,5.116,5.578,5.9005,6.223,6.4425,6.662,6.8735,7.085,7.271,7.457,7.6695,7.882,8.1795,8.477
24040,2.144,2.647,3.348,4.055,4.5515,5.048,5.296,5.544,5.7315,5.919,6.0935,6.268,6.4655,6.663,6.9215,7.18,7.473,7.766
24050,2.389,3.019,3.602,3.92,4.2055,4.491,4.625,4.759,4.8965,5.034,5.2055,5.377,5.538,5.699,5.881,6.063,6.2885,6.514
24060,2.443,2.993,3.632,3.966,4.211,4.456,4.51,4.564,4.6295,4.695,4.807,4.919,5.033,5.147,5.3315,5.516,5.687,5.858
24070,1.869,2.355,3.061,3.41,3.6095,3.809,3.924,4.039,4.157,4.275,4.3645,4.454,4.638,4.822,5.0135,5.205,5.42,5.635
24080,1.872,2.083,2.514,3.173,3.5105,3.848,3.959,4.07,4.174,4.278,4.4425,4.607,4.8835,5.16,5.49,5.82,6.1375,6.455
24090,1.626,2.084,2.463,2.664,2.8995,3.135,3.2455,3.356,3.4595,3.563,3.708,3.853,4.0445,4.236,4.476,4.716,4.9925,5.269
24100,0.995,1.386,1.834,2.125,2.367,2.609,2.729,2.849,2.9855,3.122,3.2145,3.307,3.4365,3.566,3.6965,3.827,3.966,4.105
24110,1.203,1.613,1.959,2.466,2.709,2.952,3.0985,3.245,3.4115,3.578,3.775,3.972,4.2235,4.475,4.7085,4.942,5.2575,5.573
24120,1.213,1.887,2.344,2.7,3.186,3.672,3.9625,4.253,4.429,4.605,4.8185,5.032,5.265,5.498,5.815,6.132,6.5825,7.033
24130,1.166,1.535,1.818,2.088,2.496,2.904,3.2015,3.499,3.703,3.907,4.1315,4.356,4.6095,4.863,5.175,5.487,5.823,6.159
24140,0.977,1.205,1.695,2.022,2.336,2.65,2.841,3.032,3.218,3.404,3.6315,3.859,4.0995,4.34,4.5935,4.847,5.0875,5.328
24150,0.952,1.281,1.561,1.86,2.0895,2.319,2.459,2.599,2.8145,3.03,3.329,3.628,3.9355,4.243,4.541,4.839,5.1955,5.552
24160,0.92,1.095,1.324,1.523,1.942,2.361,2.601,2.841,3.067,3.293,3.5345,3.776,4.053,4.33,4.6915,5.053,5.503,5.953
24170,1.177,2.007,2.388,2.536,2.777,3.018,3.307,3.596,3.901,4.206,4.603,5,5.435,5.87,6.485,7.1,7.5965,8.093
24180,0.942,1.31,1.659,2.078,2.4825,2.887,3.1875,3.488,3.7895,4.091,4.3615,4.632,4.924,5.216,5.557,5.898,6.243,6.588
24190,1.013,1.571,1.805,2.011,2.297,2.583,2.879,3.175,3.459,3.743,3.98,4.217,4.4945,4.772,5.1845,5.597,5.919,6.241
24200,1.198,2.101,2.762,3.019,3.2395,3.46,3.6215,3.783,3.9105,4.038,4.218,4.398,4.5985,4.799,5.1035,5.408,5.732,6.056
24210,1.049,1.958,2.634,3.102,3.4905,3.879,3.9985,4.118,4.2265,4.335,4.423,4.511,4.6275,4.744,4.939,5.134,5.3815,5.629
24220,1.361,2.195,2.774,3.253,3.717,4.181,4.6055,5.03,5.1785,5.327,5.401,5.475,5.54,5.605,5.771,5.937,6.158,6.379
24230,2.012,2.781,3.253,3.729,4.0775,4.426,4.808,5.19,5.5145,5.839,6.025,6.211,6.322,6.433,6.565,6.697,6.864,7.031
24240,1.726,2.318,2.717,3.156,3.595,4.034,4.2705,4.507,4.8015,5.096,5.4905,5.885,6.146,6.407,6.558,6.709,6.824,6.939
24250,1.325,1.786,2.123,2.523,2.976,3.429,3.705,3.981,4.3315,4.682,4.986,5.29,5.542,5.794,5.9815,6.169,6.3675,6.566
24260,1.992,2.617,3.084,3.45,3.8165,4.183,4.4905,4.798,5.1675,5.537,5.785,6.033,6.2205,6.408,6.6625,6.917,7.1015,7.286
24270,2.059,3.16,3.916,4.403,4.7075,5.012,5.1035,5.195,5.4865,5.778,6.0445,6.311,6.496,6.681,6.928,7.175,7.4195,7.664
24280,2.917,4.881,6.08,6.996,7.6895,8.383,8.8295,9.276,9.42,9.564,9.7095,9.855,9.9235,9.992,10.0755,10.159,10.281,10.403
24290,2.917,4.791,6.139,6.865,7.579,8.293,8.66,9.027,9.1305,9.234,9.4015,9.569,9.6445,9.72,9.7755,9.831,9.9425,10.054
24300,2.966,5.241,6.553,7.39,7.8505,8.311,8.8425,9.374,9.7845,10.195,10.295,10.395,10.512,10.629,10.7915,10.954,11.1525,11.351
24310,2.966,5.094,6.597,7.219,7.9395,8.66,9.2005,9.741,10.0835,10.426,10.557,10.688,10.9045,11.121,11.2985,11.476,11.5675,11.659
24320,2.758,4.506,5.906,6.58,7.497,8.414,9.183,9.952,10.3005,10.649,10.865,11.081,11.198,11.315,11.4385,11.562,11.75,11.938
24330,2.632,3.955,5.266,6.125,7.093,8.061,8.8455,9.63,10.0385,10.447,10.694,10.941,11.0295,11.118,11.2565,11.395,11.543,11.691
24340,2.151,3.925,5.265,6.169,7.343,8.517,9.15,9.783,10.134,10.485,10.674,10.863,10.991,11.119,11.2265,11.334,11.6375,11.941
24350,2.545,4.298,5.54,6.444,7.5495,8.655,9.318,9.981,10.3045,10.628,10.857,11.086,11.193,11.3,11.472,11.644,11.776,11.908
24360,2.36,4.293,5.947,6.774,7.7185,8.663,9.28,9.897,10.2295,10.562,10.7305,10.899,11.0455,11.192,11.3655,11.539,12.056,12.573
24370,2.235,4.316,5.38,6.362,7.3245,8.287,8.9275,9.568,10.039,10.51,10.8065,11.103,11.2815,11.46,11.5795,11.699,11.9845,12.27
24380,2.287,3.943,5.621,6.443,7.4095,8.376,9.1105,9.845,10.2475,10.65,10.951,11.252,11.403,11.554,11.619,11.684,12.075,12.466
24390,2.621,4.064,5.367,6.101,6.9215,7.742,8.6435,9.545,10.0305,10.516,10.801,11.086,11.2455,11.405,11.474,11.543,11.7845,12.026
24400,2.723,4.311,5.381,6.256,6.904,7.552,8.261,8.97,9.5565,10.143,10.5015,10.86,11.093,11.326,11.477,11.628,11.886,12.144
24410,2.407,4.301,5.557,6.385,6.9365,7.488,8.123,8.758,9.361,9.964,10.408,10.852,11.092,11.332,11.44,11.548,11.805,12.062
24420,2.819,4.303,5.38,5.975,6.559,7.143,7.7485,8.354,8.986,9.618,10.1615,10.705,10.9605,11.216,11.279,11.342,11.562,11.782
24430,2.638,4.303,5.092,5.677,6.2605,6.844,7.392,7.94,8.514,9.088,9.5845,10.081,10.421,10.761,10.858,10.955,11.2025,11.45
24440,2.287,3.585,4.468,4.855,5.4105,5.966,6.4225,6.879,7.512,8.145,8.762,9.379,9.8645,10.35,10.5605,10.771,10.889,11.007
24450,2.306,3.076,3.637,3.935,4.315,4.695,5.198,5.701,6.291,6.881,7.4825,8.084,8.675,9.266,9.5655,9.865,10.029,10.193
24460,2.161,2.896,3.646,3.759,4.2785,4.798,5.187,5.576,6.28,6.984,7.479,7.974,8.484,8.994,9.3515,9.709,9.9135,10.118
24470,2.334,3.485,4.178,4.563,4.981,5.399,5.7905,6.182,6.6875,7.193,7.738,8.283,8.722,9.161,9.5855,10.01,10.186,10.362
24480,2.486,3.741,4.243,4.421,4.8485,5.276,5.592,5.908,6.3995,6.891,7.4465,8.002,8.5205,9.039,9.4845,9.93,10.2245,10.519
